sentence,expected
"Puede que para entonces ya lo hayamos decidido.",C1
"A poco que te esfuerces, lo habrás conseguido.",C1
"Sea como fuere, conviene mantener la calma.",C1
"Comoquiera que se mire, no deja de ser paradójico.",C1
"Por mucho que dijeran, no habría cambiado de opinión.",C1
"Ni que lo hubieras hecho tú, habría salido mejor.",C1
"Habíamos pensado que se habría resuelto antes.",C1
"Si para entonces hubiere terminado, me avisará.",C1
"Quien hubiera querido participar, habría podido hacerlo.",C1
"En caso de que hubieras llegado a tiempo, te habrías reunido con ellos.",C1
"A fuer de sincero, no me convenció la propuesta.",C1
"Estoy echando de menos a mi familia; sin embargo, sigo trabajando.",B2
"Que venga quien quiera; los demás, que esperen fuera.",B2
"Si bien es cierto, no podemos ignorar los riesgos.",B2
"Con todo, aceptamos las condiciones.",B2
"Es de esperar que mejoren los resultados.",B2
"Me tranquiliza que hayan confirmado la fecha.",B2
"En cuanto termine, te llamo; mientras tanto, revisa el documento.",B2
"Aun así, mantuvieron la decisión.",B2
"Por ende, reduciremos el presupuesto.",B2
"Así las cosas, será complicado avanzar.",B2
"Me temo que no lleguemos a tiempo.",B2
"Es menester que cumplamos el plazo.",B2
"Para que no te pierdas, te haré un mapa.",B2
"Sin que nadie lo advirtiera, cambió de plan.",B2
"De no ser por ti, todo habría salido mal.",B2
"Si supiera la respuesta, te la diría.",B2
"Cuando hubiste acabado, nos fuimos a casa.",C1
"Si para entonces hubiere llegado, le notificaremos.",C1
"Tan pronto como hubieron salido, empezó la lluvia.",C1
"Quien no hubiera estudiado, habría suspendido.",C1
"Habrá sido una decisión difícil, pero acertada.",C1
"Para cuando te des cuenta, ya se habrá solucionado.",C1
"Si hubiera llovido, habríamos cancelado la excursión.",C1
"De no haber mediado el acuerdo, se habría roto la negociación.",C1
"Sea cual fuere el resultado, seguiremos adelante.",C1
"En caso de que hubiere nuevas evidencias, se revisará el informe.",C1
"A la sazón, nadie sospechaba lo ocurrido.",C1
"Con todo y con eso, resultó ser lo mejor.",C1
"Antes que nada, permítanme agradecer su presencia.",C1
"Ni por asomo habría imaginado tal desenlace.",C1
"Así las cosas, cabría esperar una reacción distinta.",C1
"Habida cuenta de las circunstancias, procederemos con cautela.",C1
"Quiérase o no, el problema persiste.",C1
"Siempre y cuando hubiéramos coordinado, todo habría fluido.",C1
"Mal que bien, se habrá alcanzado el objetivo.",C1
"Me levanto a las siete y desayuno café.",A2
"Mi hermano vive en Barcelona y estudia ingeniería.",A2
"Trabajo en una oficina y uso el ordenador cada día.",A2
"El perro está en el jardín y la puerta está cerrada.",A2
"Hoy es martes y tengo clase de inglés.",A2
"Voy al supermercado y compro pan y leche.",A2
"Mi casa es pequeña pero cómoda.",A2
"Estoy cansado y quiero dormir.",A2
"¿Dónde está la estación de tren?",A1
"Necesito agua porque tengo sed.",A2
"Tengo hambre y quiero comer una pizza.",A2
"Tienes que estudiar para el examen.",A2
"Puedo ayudarte si quieres.",A2
"Sé tocar la guitarra.",A2
"He visitado a mis abuelos este fin de semana.",B1
"Ayer fui al cine con mis amigos.",B1
"Quiero viajar a México el año que viene.",A2
"Deberías descansar; estás muy cansado.",A2
"¿Puedes abrir la ventana, por favor?",A2
"Me duele la cabeza, pero sigo trabajando.",B1
"Cuando era pequeño, mi abuela me contaba cuentos.",B1
"Espero que vengas mañana a mi casa.",B1
"Si hubiera sabido la verdad, no habrías dicho nada; al fin y al cabo, todos cometemos errores.",C1
"Me levanto temprano y voy al trabajo.",A2
"Mi hermana estudia medicina y vive en Madrid.",A2
"Hoy es domingo y estoy en casa.",A2
"El perro está en el jardín y la puerta está abierta.",A2
"Voy al supermercado y compro frutas y verduras.",A2
"Trabajo en una oficina y uso el ordenador.",A2
"Mi cumpleaños es en mayo y tengo 30 años.",A2
"Sé conducir un coche.",A2
"Si llueve, no salgo; si hace sol, voy a la playa.",B1
"Por ende de lo expuesto, concluyo que es viable.",C1
"Me llamo Pedro y vivo en Zaragoza.",A1
"Trabajo en una tienda y estudio por las tardes.",A2
"Hoy es lunes y tengo clase de matemáticas.",A2
"Me gusta el fútbol y juego con mis amigos.",A2
"Si hubiere lugar, se dictará sentencia.",C1
"Para cuando llegues, ya habré terminado.",C1
"Sea cual fuere la decisión, la acataremos.",C1
"En caso de que hubiere nuevas pruebas, se revisará el caso.",C1
"A fuer de honesto, no me convenció.",C1
"Así las cosas, cabría esperar otra reacción.",C1
"Habida cuenta de las circunstancias, actuaremos con cautela.",C1
"Habrá terminado el trabajo aunque estaba cansado.",C1
"Habrá comido pan aunque no tenía hambre.",C1
"Habrá abierto la puerta aunque estaba cerrada.",C1
"Habrá dicho la verdad aunque nadie la creyó.",C1
"Habrá estudiado aunque no quería hacerlo.",C1
"Habría terminado la tarea sin embargo no tuvo tiempo.",B2
"Habría comido arroz sin embargo no había suficiente.",B2
"Habría bebido café sin embargo estaba tarde.",B2
"Habría abierto la ventana sin embargo hacía frío.",B2
"Habría dicho su nombre sin embargo nadie escuchó.",B2
"Hube llegado temprano aunque llovía.",C1
"Hube visto el coche aunque estaba oscuro.",C1
"Hube abierto la puerta aunque estaba pesada.",C1
"Hube terminado el trabajo aunque estaba difícil.",C1
"Hube escrito la carta aunque estaba cansado.",C1
"Si hubiera estudiado, habría aprobado aunque estaba enfermo.",C1
"Si hubiera comido, habría tenido energía aunque estaba cansado.",C1
"Si hubiera bebido agua, habría estado mejor aunque hacía calor.",C1
"Si hubiera abierto la ventana, habría entrado aire aunque hacía frío.",C1
"Si hubiera dicho la verdad, habría sido justo aunque nadie quería escuchar.",C1
"Habrá comido pan.",C1
"Habrá bebido agua.",C1
"Habrá llegado a casa.",C1
"Habrá abierto la puerta.",C1
"Habrá escrito una carta.",C1
"Habrá visto la película.",C1
"Habrá terminado el trabajo.",C1
"Habrá dicho la verdad.",C1
"Habrá dormido en la cama.",C1
"Habrá comprado leche.",C1
"Habría comido arroz.",C1
"Habría bebido café.",C1
"Habría abierto la ventana.",C1
"Habría dicho su nombre.",C1
"Habría terminado la tarea.",C1
"Hube llegado temprano.",C1
"Hube visto el coche.",C1
"Hube abierto la puerta.",C1
"Si hubiera estudiado, habría aprobado.",C1
"Si hubiera comido, habría tenido energía.",C1
"Me llamo Luis y vivo en Valencia.",A1
"Mi hermana es médica y mi hermano es estudiante.",A2
"Estoy en casa y miro la televisión.",A2
"Mi perro está en el jardín y mi gato en la cocina.",A2
"Busco mi mochila; está debajo de la mesa.",A2
"Somos cuatro en la familia y vivimos juntos.",A2
"Necesito agua...",A2
"El libro está en la mesa y la ventana está abierta.",A2
"Mi madre trabaja de ocho a cinco y yo estudio.",A2
"Como arroz y bebo agua todos los días.",A2
"Vivo cerca del parque y camino por la mañana.",A2
"El museo abre a las diez y cierra a las seis.",A2
"Estoy de acuerdo, pero no entiendo todo.",B1
"Tienes que ir al médico mañana.",A2
"Sé tocar la guitarra un poco.",A2
"Cuando llego, te llamo porque no tengo tiempo.",A2
"Necesito comprar medicinas porque estoy resfriado.",A2
"Voy a empezar un curso de fotografía.",A2
"¿Sabes conducir o prefieres ir en taxi?",A2
"Estoy aprendiendo a cocinar postres sencillos.",A2
"Antes no comía pescado, pero ahora me gusta.",B1
"Esta tarde he quedado con unos amigos.",A2
"Cuando termines, avísame.",A2
"No puedo salir porque tengo una reunión.",A2
"Miro la televisión y descanso.", A1
""Como pan y bebo agua.", A1
"Cuando termines, avísame.","B1"
"Aunque llueva, vamos al parque.","B1"
"Quiero que vengas a mi casa.","B1"
"Es importante que estudies para el examen.","B1"
"Necesito que me ayudes con la tarea.","B1"
"Para que entiendas mejor, te explico otra vez.","B1"
"Antes de que salgas, cierra la ventana.","B1"
"Espero que tengas un buen día.","B1"
"Prefiero que me llames por la tarde.","B1"
"Hasta que llegues, no empiezo la película.","B1"
